Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
Passive device fabrication and characterization for future GaN MMIC design,"Monolithic microwave integrated circuit (MMIC) is a type of integrated circuit (IC) device that operates at microwave frequencies (300 MHz to 300 GHz), it normally consists of active GaN HEMT transistor and some passive device such as resistor, capacitor and conductor etc. Design and characterize these passive device in the HEMT device fabrication process will be the starting point to build the MMIC chip in the future. This project will design some basic passive device pattern, fabricate though Fab process, then perform electrical characterization of these test pattern, extract passive device model for future MMIC design.","1. what are the passive devices used in MMIC design
2. how to use layout software to design the passive devices
3. how to characterize the passive devices
4. how to extract passive device model","1. Work with research engineer/scientist on passive device design
2. Follow up on the passive device fabrication
3. Perform electrical measurement for passive devices
4. Work with research engineer/scientist on passive device modeling","1. Basic layout drawing knowledge
2. Basic electrical measurement knowledge
3. Basic modelling concept","1. Layout drawing for passive devices
2. Follow up with research engineer/scientist on the mask making/wafer fabrication
3. Characterization measurement for passive devices
4. Follow up with research engineer/scientist on model extraction",IME,NGTC,Gao Yuan,"4 Fusionopolis Way, Singapore 138635, Kinesis Building",Engineering & Technology,1
Bioinformatics tools for integrative spatial analysis,"The focus of our project is to develop an integrative bioinformatics approach for comprehensive spatial analysis. The primary goal is to facilitate the discovery and understanding of complex biological patterns and relationships within various biological systems through the integration of spatial, histological, and molecular data. ","1, They can gain hands-on experience in data analysis, computational modelling, and statistical techniques relevant to biological data.
2. They can develop proficiency in analyzing large-scale biological datasets and interpret the results and draw meaningful conclusions from complex biological data
3. They can enhance their coding skills in Python/R and develop algorithms.
4. They learn how to navigate various bioinformatics databases, resources, and tools.
5. Interns have opportunities to present their research findings.","1.	Collaborate with the project lead and data scientists to understand the goals of the algorithm development.
2.	Contribute to the development of bioinformatics algorithms under the guidance of the project lead or a senior data scientist.
3.	Test the developed algorithms on a subset of data and document the results.
4.	Assist in optimizing the algorithms for efficiency and accuracy.
5.	Assist in the development of user-friendly software tools that implement the project's algorithms.
6.	Participate in the debugging and testing of the software.
7.	Help create documentation and user manuals for the software tools.","1.	Programming skill, image processing skill will be a plus
2.	Problem solving skill
3.	Fundamental knowledge of biology/ immunology","1.	Algorithm Development: Create innovative bioinformatics algorithms that can efficiently integrate and interpret multi-omics data in the spatial context. The focus will be on utilizing machine learning and AI techniques to deal with the complexity of the data.
2.	Tool Development: Develop user-friendly, open-source software tools that implement the developed algorithms. 
3.	Case Studies: Apply the developed tools and methodologies on in-house datasets to validate their utility. This will involve collaborations with biology labs, wherein the tools will be used to answer specific biological questions.",SIgN,Immunomonitoring/Computational Immunology,LAU Mai Chan,"8A Biomedical Grove, #04-06 Immunos Building, Singapore 138648",Biomedical Sciences,2
Characterising tryptophan metabolism in the placenta,The placenta serves as the functional interface between mother and child. Tryptophan is an essential nutrient found in the diet and is necessary for healthy growth and development in the womb. Our lab is interested in investigating the factors that alters tryptophan processing in the placenta and whether these changes relate to differences in maternal and child outcomes using the local GUSTO mother-child cohort.,"The selected student(s) will gain an appreciation for the study of human potential in the areas of developmental/reproductive biology and intrauterine programming of long-term health, while learning practical laboratory skills in cell/tissue culture, molecular biology (eg. extraction of RNA and protein, qPCR, immunoblotting, ELISAs), safe handling of human tissue samples as well as analytical skills in statistics.","'- Follow all lab safety rules
- Perform experiments and data processing/analysis as guided by mentor
- Regularly read the scientific literature and assist with literature reviews of scientific papers
- Attend and participate in lab meetings
- Have proof of Hepatitis B antibody titres to work with human tissue samples in the lab","- Undertaking biology subjects at the undergraduate level
- Experience with using a micropipette","The selected student(s) will have the opportunity to perform laboratory experiments such as placental cell/tissue culture, extraction of RNA and proteins, qPCR and immunoblotting to determine RNA and protein expression in human placental samples and to analyse the relationship of experimental findings with clinical data such as BMI and age.",SICS,Human Development,Hannah Yong,"Singapore Institute for Clinical Sciences, Brenner Centre for Molecular Medicine, 30 Medical Drive, Singapore 117609",Biomedical Sciences,2
Dynamic Recyclable Thermosets for Sustainable Plastics,"Thermosets are cross-linked polymers with superior strength and durability at the expense of recyclability. Vitrimers, a new class of polymers, possess dynamic covalent cross-links which can rearrange when activated. This stimuli-driven recyclability makes vitrimers highly attractive as sustainable plastics.
This project aims to develop vitrimers with good compressive strength and stability to drive the adoption of these circular plastics. The intern will actively participate and work with the team to synthesise vitrimers and optimise their mechanical properties and recyclability.","1. Gain in-depth knowledge of vitrimers, including synthesis and performance characterisation
2. Ability to perform a wide range of lab work and experiments independently, including synthesis and formulation.
3. Gain knowledge and ability to operate molecular and polymer testing equipment and other common characterization tools
4. Independent and critical thinking skills, problem-solving skills, and teamwork are among the many other transferrable skills to be gained.","1. Execute tasks assigned by the supervisor with due diligence.
2. Comply to laboratory safety rules set by the institute.","1. Pursuing undergraduate studies in Bachelor's Degree in Chemistry, Materials Science or any relevant degree.
2. Possess a proactive and positive learning attitude
3. Able to work both independently and in a team","1. Synthesis of molecular cross-linkers
2. Synthesis and modification of cross-linked polymers
3. Characterisation of polymer e.g. mechanical strength, recyclability
",IMRE,SOF,Goh Simin Shermin,"2 Fusionopolis Way, Innovis, Singapore 138634",Physical Sciences,2
AI approach for cancer spatial immunology study,Pioneering advanced AI methods to address complex cancer challenges through deep learning models and integrating optimal algorithms into a robust workflow. This entails the analysis of diverse advanced spatial omics data,"1, They can gain hands-on experience in data analysis, computational modelling, and statistical techniques relevant to biological data.
2. They can develop proficiency in analyzing large-scale biological datasets and interpret the results and draw meaningful conclusions from complex biological data
3. They can enhance their coding skills in Python/R and develop algorithms.
4. They learn how to navigate various bioinformatics databases, resources, and tools.
5. Interns have opportunities to present their research findings.","1.	Organizing their time well
2.	Updating work progress on weekly basis
3.	Reading papers to learn about AI approaches for spatial immunology
4.	Resourcing for software packages when necessary
5.	Maintaining a positive learning attitude","1.	Programming skill, deep learning/ image processing skill will be a plus
2.	Problem solving skill
3.	Fundamental knowledge of biology/ immunology","1.	Perform literature review to study the state-of-art deep learning approaches for gene/marker prediction from histological images, or AI methods for multi spatial-omics analysis
2.	Implement and evaluate the methods using in-house cancer patient data 
3.	Optimize and enhance the methods
4.	Build an end-to-end workflow by incorporating data loading, cleaning, normalization, AI models, and visualization (this step is optional, depending on the progress of the students)",BII,Biomedical DataHub,LAU Mai Chan,"8A Biomedical Grove, Immunos, Level 5, Singapore 138665",Biomedical Sciences,2
Computational analysis of spatial omics data,New technologies in spatial transcriptomics now enable us to collect spatially-resolved measurements of gene expression within a tissue. We are looking for students interested in working with spatial omics data generated using cutting-edge technologies. ,"Students will learn to work with spatial data generated from the latest spatial omics technologies (such as Xenium, CosMx, Vizgen). They will gain experitse in bioinformatics analysis methods and workflows.","Students will work on improving algorithms used in analysing spatial omics data. They will work closely with senior members in the lab who will guide them. Students will be encouraged read, learn, pose questions, and actively pursue their assigned tasks.","Familiarity with Python, deep learning libraries (Pytorch, Tensorflow), along with some existing knowledge of machine learning, deep learning and computer vision.",Optimisation of algorithms used in analysing spatial omics data.,GIS,Laboratory of Systems Biology and Data Analytics,Shyam Prabhakar,"60 Biopolis Street, Genome L3, Singapore 138672",Computing & Information Sciences,2
Scalable Optimisation Algorithms with Artificial Intelligence for Rapid Convergence,"The practical problems that would benefit from numerical optimisation are often plagued with a wide range of inter-dependent decision variables. As the number of decision variables increase, the dimensionality of a numerical optimisation problem also increases in a manner that affects the difficulty of solving the problem in an exponential manner. Developing algorithms and strategies that can be used for large & complex problem is the critical development effort that allows these algorithms to be practically implemented to give very tangible benefits. The project will take classical optimisation algorithms and enhance them with modern artificial intelligence. An example could be the use of an artificial neural-network to guide search-based algorithms. ","The student will develop various technical skillsets which include (but not limited to): scientific programming, optimization algorithms, machine learning, artificial intelligence, and problem formulation. Furthermore, the student will also gain a strong familiarity with the chosen domain of application for the algorithm that he or she will develop, such as logistics. ","The student will be working with the Simulations and Optimisation team under the Digital Supply Chain group at the ARTC. The student will be expected to learn the technical skills on the job and also build an understanding of the domains of application. Under the guidance of the team, the student will be designing optimisation algorithms and implementing them in the programming language of their choice. These algorithms should perform to requirements in speed, reliability, and robustness. ","Basic programming skills in one of the common languages (Python, C++, Javascript, etc.). ","As part of the Simulations and Optimisation team under the Digital Supply Chain group at the ARTC, the student will:
- perform scientific programming (implementing optimisation algorithms) 
- perform data analysis to understand the use cases the student is presented with 
- perform data engineering for pre- and post-processing of results 
- formulate numerical optimisation algorithms from real-world problem 
- study the state-of-the-art methods through literature review and training 
- design numerical strategies for rapid solution convergence, incorporating artificial intelligence where appropriate and beneficial. 
- support stakeholder meetings by scoping projects, presenting findings, and giving recommendations. ",ARTC,Digital Supply Chain,Wen Yao Lee,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Computing & Information Sciences,2
Control strategies for manipulation planning and safety in a human-centric robot-human collaborative assembly system,Develop a safety-guaranteed robot-human collaborative system where the robot manipulator can share a small working space with humans to complete a task. The platform MATLAB/Simulink is chosen as the proposed tools perform high-computing solution with a model-based system engineering approach.,"to apply a significant range of advanced and specified skills and be able to act autonomously in the planning and implementation of research, to practice proactive, self-critical and self-reflective approaches based on research and to develop professional relationships with others where appropriate. ","The student is responsible for undertaking research; undertaking appropriate skills training; maintaining the progress of their work; taking the initiative in raising problems or difficulties; and presenting their research works in conferences and seminars, within the constraints of the ARTC's / A*STAR's regulation.   ",,Carrying out research towards a master's or doctoral degree. Participating in theoretical and/or empirical research in the relevant areas. Publishing results in the appropriate media. Presenting findings at conferences and seminars. ,ARTC,Autonomous Systems & Robotics,Shin Horng Chong,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,2
Integrative analysis and AI modeling of multimodal datasets of diseases,"We work closely with clinicians to explore personalized treatment options for patients of different diseases, including different cancer types and metabolic diseases. We use multi-omic and spatial profiling, and functional screening in patient-derived models. Data of multiple modalities are generated in the process, and we are developing systematic workflows to integrate and analyze the data to enable clinical-decision-making and drive translation research. The Research Data Integration group in BII is developing an end-to-end framework to analyze and integrate complex multimodal datasets to enable clinical-decision-making and drive translation research. ","The candidate will have the opportunity to work in a multi-disciplinary team led by a senior Principal Investigator highly experienced in computational biology and biomedical data science and clinician-scientists of various specialization. Eventually, the candidate will receive training in both computational and translational biology. The candidate will gain experience in dealing with highly complex data science challenges in different disease domains.","The intern is expected to work on any of these tasks, depending on field of study and interests. 1) Develop, implement and benchmark executable workflows for multi-omic datasets and image processing of histology images. 2) Organize and analyze in-house and publicly available datasets. 3) Develop visualization tools to visualize results in a meaningful way. 4) Curation of therapies and biomarkers, and patient clinical data.","1) The candidate should have basic programming skills (e.g. Python, R, RStudio, Jupyter Notebook, RShiny, SQL), except for curation tasks. 2) Familiarity with Unix/Linux environment or cloud architecture would be an advantage. 3) Strong analytical and problem-solving skills. 4) Excellent oral and written communication and presentation skills. 5) Able to work independently, and as part of a team.","This project is looking for candidates to develop computational methods, including big-data analytics, AI/ML approaches and visualization platforms, to analyze and integrate the multi-modal data (sequencing, imaging, spatial profiling, treatment response and clinical data) that can deliver translational outcomes to patients. The candidate will work with the PI and computational scientisits in the team to execute projects and carry out assigned tasks in a timely and efficient manner. He/She will report her progress on a regular basis. ",BII,Biomedical Datahub,Woo Xing Yi,"Matrix, Biopolis, L7",Computing & Information Sciences,2
Developing circular RNA strategies for RNA vaccines,"The recent development of mRNA vaccines has revolutionized our ability to protect against SARS-CoV-2 virus and opened the possibility of vaccinating us broadly from diseases including viral, bacterial infections, and even cancer. The current mRNA vaccine utilizes a linear mRNA that is modified, capped and polyA tailed.  This RNA is then packaged with lipid nanoparticles and delivered into human cells through intramuscular injection. While highly effective, current RNA vaccine designs suffer from several drawbacks, including the need for low temperatures for transport and storage, the need for high doses to be injected, development of allergic reactions due to formulation, a lack of target specificity and high cost. As such, much remains to be studied with regards to increasing the stability and translatability of the RNA, the formulation of the nanoparticle and alternative delivery methods. Here, we combine expertise in RNA biochemistry, structural biology, nanoparticle delivery and immunology to develop circular RNA strategies towards SARS-CoV-2.  If successful, circular RNA vaccine strategies can also be applied to protection against other diseases.  ","The student will learn cell culture, molecular biology techniques including western blotting, dot blotting and cloning, as well as high throughput sequencing library preparations to study different aspects of RNA.",,,,GIS, Laboratory of RNA Genomics and Structure,Wan Yue,"60 Biopolis Street, Singapore 138672",Biomedical Sciences,2
Computational optimization of synthetic peptides for improved antimicrobial activity.,"Synthetic antimicrobial peptides (AMPs) offer a useful source for the development of novel antimicrobial agents. This project aims to characterize the interactions of AMPs with bacterial membranes, to provide novel insights into the influence of peptide sequences on structure, aggregation, and membrane active properties. This will be achieved using computational approaches based on molecular modelling and simulations, and will help to guide collaborative wet lab experiments, towards engineering of AMPs with improved antimicrobial characteristics.","The student will learn how to use multiple cutting-edge programs and tools in structural biology and bioinformatics. They will gain knowledge in basic principles of structural biology and the biophysics of biomolecular systems. This will enable them to elucidate the structure-function relationships of AMPs interacting with bacterial membranes, as well as the roles of their dynamics and influence of mutations upon antimicrobial activity.","The student will perform the study as described  with supervision from members of the research team. The student will be responsible for doing literature research, searches on bioinformatics servers, setting up simulation systems, and performing subsequent data analysis. Other duties include attending and/or presenting at group meetings, learning how to generate graphs and figures to present data, and writing project reports.","The student must have basic knowledge in protein biochemistry, especially structural biology and intermolecular interactions. Experience using Linux command line environments is an advantage. Other desirable skills include experience using bioinformatics servers such as the Protein DataBank (PDB), performing literature searches, and working with biomolecular visualization programs such as PyMOL or VMD. The student must be willing and enthusiastic to learn the basics of computational structural biology, including molecular dynamics simulations and simple scripting with Python. ","The student will be performing in silico mutations on antimicrobial peptides (AMPs) of specified sequence, and use molecular modelling and simulations to assess their aggregation tendency and propensity to bind bacterial outer membrane. The student will use appropriate analysis / visualization tools to investigate specific residues involved in protein-protein and protein-membrane interaction and mutations that may improve desirable properties.",BII,"Biomolecular Structure to Mechanism Division / Multiscale Simulation, Modelling and Design group",Peter J Bond,"30 Biopolis Street, #07-01 Matrix, 138671",Biomedical Sciences,2
Using AI to identify pathogen signatures from metagenomic data,"Early diagnosis of infections is critical for the successful treatment of hospitalized patients, but the precise detection of causative pathogens remains an open challenge. Compared to current laboratory diagnostic methods, taxonomic classification tools that match sequencing reads with a reference database allow for the rapid identification of pathogens. 
In this project, we aim to develop deep-learning taxonomic classifiers (e.g., transformers) using long-read sequencing data. We plan to extend previous methods in directions such as representation learning and the detection of novel species. ",,"• Process and perform integrative analysis on metagenomics datasets 
• Implement, train, tune, and debug deep learning classifiers for taxonomy classification. 
• Create pipelines for analyzing large biological datasets. 
• Perform exploratory and statistical analyses to elucidate biological significance from experimental observations. 
• Study and implement explainable AI techniques for interpreting models prediction. 
 ","
•	Self-motivated individual and willingness to self-learn
•	Good analytical, statistical and programming skills (Python or like) and ability to work in UNIX environment
•	Team player and good interpersonal skills",,GIS,Laboratory of Metagenomic Technologies & Microbial Systems,Niranjan Nagarajan,"Genome Institute of Singapore, 60 Biopolis Street, Singapore 138672",Computing & Information Sciences,2
New molecular concepts for diagnostic accesibility,"The lab focuses on developing innovation to increase the accessibility of nucleic acid diagnostics by making it faster, cheaper or more workflow-appropriate. The lab has had students develop new LAMP concepts (ANDgate LAMP) and optimize nucleic acid library preparation (for infectious disease sequencing) protocols in the past. The student will be involved in developing or optimizing specific aspect of a nucleic acid diagnostic concept we are working on at the time of attachment. ","The student will learn to understand the application use case thoroughly before diving into problem-solving. The student will also learn how to diagnose, troubleshoot and resolve experimental problems in a systemic way.",Running wet lab experiments in a molecular biology laboratory and writing reports.,"Molecular Biology / Biochemistry / Medicine / Bioengineering-related degree with a basic understanding of nucleic acid methods e.g. qPCR, cloning, restriction digest, etc.",Running wet lab experiments in a molecular biology laboratory and writing reports for a specific nucleic acid diagnostic concept we will be working on at the time of attachment.,GIS,Laboratory of Diagnostic Accessibility,Seow Yiqi,"60 Biopolis Street, Genome, #07-01, Singapore 138672",Biomedical Sciences,2
Elucidating the transcriptional response of cancer drug treatment using a spatial multi-omics approach,"In this project, we will be setting up a model system for understanding the transcriptional response of estrogen signaling in breast cancer cells. We will apply a spatial omics approach to profile the hormone dependence of breast cancer to gain a better understanding of the disease. In particular, we want to quantify and compare the transient transcriptome and genome of MCF-7 cells in response to E2 treatment and Ethanol control using a microscopy-based approach called MERFISH. From this data, we hope to construct a mechanistic understanding of how estrogen receptor elicit a regulatory response to treatment that ultimately can be exploited to develop improved therapeutics in the clinic. Please visit our labwebsite to learn more: https://khchenlab.github.io/","Intern is expected to learn various practical laboratory skills, including biochemical assays, advanced instrumentation, and data analysis. ",Intern is expected to learn from and assist a research fellow or graduate student in conducting experiments. Intern is expected to establish ownership of a small scale project. Intern is encouraged to actively participate in scientific discussions.,Background in any science or engineering field,The intern will be taught how to prepare biological samples for molecular analysis. The intern also learn how to analyze data and derive statistically meaningful biological conclusions.,GIS,Laboratory of Imagenomics,Chen Kok Hao,"60 Biopolis Street, Genome, Level 5, Singapore 138672",Biomedical Sciences,2
A trimodal AI framework for target discovery,"Spatial omic technologies enable high-throughput spatially-resolved measurements of gene and/or protein expression in complex tissues. However, analytical pipelines remain underdeveloped, impeding biological insight and clinical translation. In this project, we will develop methods and algorithms for integration of whole-slide imaging and clinical data with spatial omics data for biomarker discovery. ","Student will develop proficiency in processing and analyzing spatial omics data, including quality control, data preprocessing and visualization. Student will also develop proficiency in AI models for clinical imaging analysis, such as vision transformers and graph neural networks. ","Student will collaborate with senior scientists to design, develop and train models for integration of spatial omics data with imaging and clinical data. Student will also assist in data preparation and preprocessing. Student will document experiments and findings, and prepare reports and presentations. Student will actively participate in team discussions and attend lab meeting. ","Strong programming skills in Python and/or R. Familiarity with  machine learning libraries (eg. scikit-learn, PyTorch, DGL) and/or scRNA-seq/spatial omic analysis pipelines, is a plus. ","Spatial omic technologies enable high-throughput spatially-resolved measurements of gene and/or protein expression in complex tissues. However, analytical pipelines remain underdeveloped, impeding biological insight and clinical translation. In this project, we will develop methods and algorithms for integration of whole-slide imaging and clinical data with spatial omics data for biomarker discovery. ",GIS,Laboratory of Systems Biology and Data Analytics,Grace Yeo,"Genome Institute of Singapore, 60 Biopolis Street, Singapore 138672",Computing & Information Sciences,2
Efficiency in the Era of Foundation Models,"This research project focuses on analyzing the efficiency of foundation models. We delve deep into various aspects including the efficiency of the model architectures, the datasets used, and the methods implemented during the training and evaluation phases. By investigating these components, the project aims to identify potential bottlenecks and areas for optimization in deploying foundation models in real-world scenarios.","1. Understand the intricacies and fundamentals of foundation model architectures.
2. Develop a deeper knowledge of dataset efficiency and its impact on model training and output.
3. Gain hands-on experience in evaluating and optimizing training methods.
4. Acquire skills in critically analyzing model evaluation metrics and their real-world implications.
5. Understand the challenges and trade-offs in achieving efficiency in model training and deployment.","1.	Conduct literature review on the latest foundation models and their efficiencies. 
2.	Participate in data collection, preprocessing, and analysis to ensure dataset efficiency.
3.	Implement, train, and evaluate different foundation models to benchmark their efficiencies. 
4.	Document and present findings, insights, and recommendations based on the research. 
5.	Collaborate with the team to brainstorm and develop strategies to optimize efficiency in future projects.","1. Basic understanding of machine learning and deep learning concepts.
2. Familiarity with common ML/DL frameworks like TensorFlow or PyTorch.
3. Strong analytical and critical thinking skills.
4. Good communication skills for effective documentation and presentation.
5. Previous experience in working with datasets is a plus.","The student will actively participate in a research project focusing on the efficiency of foundation models. They will be involved in literature review, data analysis, model training, and evaluation. The student will collaborate with a team of researchers to uncover insights and provide recommendations on optimizing the efficiency of foundation models in both training and real-world deployment scenarios. The role demands a blend of theoretical knowledge and hands-on application, ensuring a comprehensive learning experience.",IHPC,CFAR,He Yang,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Computing & Information Sciences,2
Investigating crosstalk between immunity and metabolism during bacterial/viral infection.,"Recent studies have revealed that metabolic sensors and metabolites (signaling intermediates) are crucial for immune regulatory elements that are key to control microbial infections and the maintenance of immune homeostasis. In this project, we aim to explore the molecular mechanisms underlying host immune-metabolic framework including immune cell signaling pathways, metabolic regulators, host metabolic reprogramming, and immune genes expression during bacterial/viral infections. Some of the experimental techniques and research methods that would be used in executing the proposed work include metabolomics, proteomics, gene cloning, PCR analysis, cell culture, expression and purification of recombinant proteins, single-cell RNA sequencing, flow cytometry, SDS-PAGE, Western blot, etc. These findings would help to device new therapeutic regimens (host-directed therapies) for microbial infections.","From this project student will gain (i)  Tissue culture experience, growing human and mouse cells, preparing medium; (ii) Experience with culturing bacteria; (iii) hands on protein biochmistry technoiques (Western blot, ELISA, protein quantification, etc); and (iv) learning of how to infect cells with bacteria and isolation of RNA / DNA. ",The student will work in a team; will learn team-work. Data analysis and report writing. ,Life Science experience; knowlegde of pathogens and immunity  in general; ,"The job responsibilities are as follows:
- Involvement in projects related to metabolic regulation in host cells during inflammation
- Perform in vitro and animal experiments. 
- Perform wet lab experiments using techniques such as molecular biology, immunohistochemical analysis, flowcytometry
- Provide laboratory maintenance support",ID Labs,Bacterial Immunopathology Lab,Amit Singhal,"#05-13, 8A Biomedical groove, Immunos, SG 138648",Biomedical Sciences,2
Optimizing ansatz for variational quantum algorithms,"This project aims at understanding and optimizing the design of the parameterized Ansatz for solving engineering problems. The general-purpose hardware efficient ansatz is built for current hardware, but it is inefficient for practical applications and is also exposed to scaling problems such as barren plateau. ",Understanding and optimizing the design of the parameterized Ansatz for solving engineering problems,Running simulator models and programs,"Basic familiarity with the Dirac notation and basic concepts related to quantum computing (Nielsen and Chuang, 2010) ",The scope of the project involves constructing and testing Ansaetze specifically designed for solving engineering equations.,IHPC,Fluid Dynamics,Fong Yew LEONG,"1 Fusionopolis Way, Connexis, S138632 ",Computing & Information Sciences,2
Economic and Environmental Analysis on Green Ammonia and Methonal Production,"Traditional grey ammonia and methanol production heavily rely on fossil fuels, contributing to greenhouse gas emissions and environmental degradation. Green alternatives, generated from renewable sources or sustainable processes, offer a promising solution. The ""Economic and Environmental Analysis of Green Ammonia and Methanol Production"" project seeks to employ rigorous economic and environmental assessments to determine the viability of green production. Through modelling and simulation over a global setting, it provides valuable insights into cost-effectiveness and will provide a full account for the environmental impacts of green ammonia and methanol production.","This project will expose the student(s) to understand the fundementals of various green ammonia and green methonal production technologies and exposure to modelling and simulation capabilities, techno-economic analysis, and environmental life cycle assessment analysis of such sustainable fuels.","1) Gather information, data, or resources relevant to the project's tasks.
2) Process data and run simulation (with support and supervision)
3) Assist supervisor in overseeing schedules and milestone management as well as preparing slides and reports.","1) Undergrad: Mechanical Engineering, Chemical Engineering or energy related field; H3 RAP: strong interest in Chemistry and Mathematics
2) Interest in modelling and simulation for sustainable fuel production from renewable energy
3) Experience in programming (computational, ideally in Python) and data-driven modelling","The students will be responsible for undertaking in-depth research in modelling and simulation of the various green ammonia and methanol production systems:
1) Conduct literature review to stay up-to-date with the latest trends and innovations in green ammonia and methanol production.
2) Collected databases of cost and life cycle assessment for green ammonia and methanol production process
3) Assist supervisor to build physics or data-driven models for green ammonia and methanol production
4) Assist supervisor to conduct cost-benefit analysis for green ammonia and methanol production and estimate capital and operational costs.
5) Assist supervisor to conduct life cycle assessment studies to quantify the environmental impacts of green ammonia and methanol production.
6) Publish high-quality research papers with research outcomes in Citescore top 10% international journals if applicable",IHPC,Systems Science,LI Xian,"1 Fusionopolis Way, #16-16 Connexis, Fusionopolis, Singapore 138632",Engineering & Technology,2
Exploring Quantum Machine Learning Algorithms for Classical and Quantum Data,"In this project, students will delve into the fundamentals of quantum computing and its applications in processing classical data sets, with a focus on machine learning tasks. Students will work largely with simulated quantum environments and potentially actual quantum hardware to develop and test machine learning algorithms. The project’s main goal is the implementation and analysis of quantum algorithms to solve both classical problems, such as recognizing handwritten digits using the MNIST dataset, and quantum problems such as quantum phase classification. This project aims to bridge the gap between classical data analysis methods and quantum computing potential, equipping students with a futuristic skill set that is at the forefront of computational technology.","- Understanding of Quantum Computing: Gain a foundational understanding of quantum mechanics principles as they apply to quantum computing.
- Quantum Machine Learning (QML) Knowledge: Learn how quantum algorithms can be applied to ML tasks and understand the advantages and limitations of QML.
- Programming Skills: Develop proficiency in quantum programming languages such as the open source package Qibo, and enhance Python skills.
- Analytical Skills: Cultivate the ability to analyze and compare the performance of quantum algorithms against classical algorithms on traditional data sets.
- Research Experience: Engage in the research process, including problem formulation, experimentation, and discussion of findings.
- Team Collaboration: Work effectively as part of a research team, leveraging diverse skills and perspectives to achieve a common goal.
Through this project, students will experience firsthand the interdisciplinary nature of quantum machine learning and develop a valuable set of skills across research, programming, analysis, and communication.","Students will engage in a range of responsibilities that collectively contribute to the project’s success. They will conduct research on quantum algorithms, identifying and understanding how these can be applied to noth classical and quantum machine learning problems. Students will be expected to write and debug code capable of running on quantum simulators and potentially on actual quantum hardware.
A significant portion of the work will also involve data analysis. Students will manage classical datasets, like the MNIST database of handwritten digits, and prepare them for quantum processing. They will apply the algorithms they have developed to these datasets, analysing the results for accuracy and insights. Comparing these quantum-based outcomes with those from traditional machine learning methods, they will evaluate the effectiveness and efficiency of quantum approaches.
Documentation will be a continuous responsibility throughout the project. Students must keep meticulous records of their methods, code, and findings to support reproducibility and peer review. Also, synthesizing and communicating the work done is important, as students may have to prepare and present their research progress and conclusions to various audiences.","Math Background: Basic understanding of linear algebra.
Programming Knowledge: Experience in a high-level programming language, preferably Python, as it is commonly used in quantum programming. Experience in quantum platforms such as Qibo, Qiskit etc is a plus.
Machine Learning Basics: Familiarity with classical machine learning concepts and algorithms.
Quantum Mechanics Basics: (Optional but beneficial) Some exposure to quantum mechanics principles.
Critical Thinking: Ability to approach problems systematically and to think critically about computational results.
Collaboration: Willingness to work in a team and contribute to all aspects of the project.","Student will contribute to an exploratory project aimed at merging quantum computing algorithms with classical machine learning tasks. Student will be expected to:
- Conduct research on quantum algorithms and their potential to revolutionize data processing.
- Write, test, and implement code for quantum simulations and potentially quantum hardware, focusing on machine learning applications.
- Analyze and interpret data from quantum simulations/experiments and compare them with classical machine learning outcomes.
- Participate in regular team meetings to discuss progress, challenges, and strategies.
- Document findings in a clear and concise manner for academic and non-academic audiences.
- Present work in both formal and informal settings to a varied audience.",IHPC,MSC,Kong Jian Feng,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",Physical Sciences,2
